GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
csv-app,org.example,CsvReader,0,67,0,4,0,17,0,5,0,3
csv-app,org.example,App,24,0,0,0,9,0,2,0,2,0
